61.0,110
18.0,66
50.0,111
89.0,103
14.0,36
98.0,53
74.0,67
37.0,48
90.0,59
75.0,49
52.0,21
1.0,36
95.0,17
80.0,30
71.0,11
26.0,23
31.0,45
26.0,16
51.0,22
44.0,9
34.0,17
55.0,24
14.0,8
89.0,8
42.0,11
37.0,11
24.0,7
58.0,14
90.0,14
5.0,9
43.0,14
21.0,6
97.0,12
60.0,10
94.0,10
59.0,16
77.0,8
50.0,5
9.0,11
38.0,31
52.0,8
94.0,12
62.0,5
63.0,13
63.0,11
74.0,10
67.0,14
25.0,10
56.0,7
59.0,11
17.0,6
26.0,8
2.0,10
3.0,8
82.0,6
35.0,7
39.0,5
7.0,7
91.0,10
8.0,6
65.0,9
36.0,7
20.0,7
54.0,8
66.0,11
14.0,11
24.0,11
49.0,7
48.0,5
47.0,12
63.0,5
54.0,6
53.0,12
89.0,6
64.0,5
6.0,8
96.0,5
39.0,8
53.0,6
46.0,7
91.0,9
7.0,9
24.0,8
73.0,7
64.0,5
41.0,6
100.0,8
41.0,16
83.0,12
17.0,7
85.0,6
41.0,5
22.0,7
62.0,8
86.0,20
70.0,4
88.0,8
82.0,5
39.0,4
48.0,7
72.0,5
4.0,7
30.0,7
48.0,4
54.0,6
50.0,18
40.0,8
57.0,10
22.0,23
70.0,10
24.0,15
31.0,9
4.0,5
10.0,4
13.0,9
22.0,6
66.0,6
43.0,9
75.0,6
62.0,5
53.0,4
18.0,4
30.0,7
68.0,15
20.0,6
39.0,7
48.0,8
53.0,5
1.0,8
58.0,8
24.0,5
91.0,5
22.0,8
27.0,6
82.0,8
56.0,5
85.0,3
91.0,4
44.0,7
8.0,3
85.0,8
89.0,9
8.0,5
83.0,4
85.0,8
23.0,6
36.0,3
95.0,7
55.0,6
69.0,3
