43.0,29
22.0,13
98.0,11
60.0,8
44.0,13
72.0,7
25.0,4
61.0,5
75.0,6
58.0,4
17.0,4
98.0,5
26.0,5
94.0,4
93.0,4
55.0,6
62.0,3
37.0,3
79.0,4
33.0,4
38.0,3
53.0,2
48.0,12
76.0,4
19.0,6
64.0,3
39.0,3
96.0,4
42.0,3
90.0,7
32.0,7
71.0,6
68.0,5
59.0,7
39.0,3
62.0,5
43.0,4
26.0,3
100.0,24
28.0,15
69.0,14
89.0,31
82.0,9
36.0,14
9.0,14
13.0,8
72.0,9
98.0,9
38.0,27
34.0,12
44.0,9
30.0,7
59.0,8
5.0,9
97.0,14
15.0,11
75.0,7
5.0,6
95.0,8
28.0,7
12.0,5
63.0,5
63.0,6
100.0,15
100.0,18
44.0,36
42.0,22
4.0,31
37.0,29
88.0,36
25.0,31
9.0,33
55.0,56
19.0,27
69.0,53
82.0,29
59.0,39
22.0,47
65.0,22
81.0,20
87.0,19
94.0,25
80.0,25
94.0,24
62.0,20
7.0,29
3.0,19
49.0,26
6.0,19
1.0,26
38.0,40
13.0,29
85.0,22
79.0,22
94.0,21
49.0,27
14.0,28
85.0,24
69.0,25
92.0,19
52.0,23
89.0,20
62.0,27
26.0,21
62.0,28
26.0,19
20.0,20
97.0,26
1.0,29
46.0,23
66.0,25
58.0,21
11.0,22
47.0,20
77.0,19
94.0,28
100.0,12
24.0,25
69.0,17
80.0,22
33.0,25
60.0,22
58.0,27
85.0,26
27.0,21
49.0,23
35.0,23
6.0,23
77.0,21
41.0,35
88.0,21
99.0,22
42.0,17
75.0,16
32.0,27
18.0,28
68.0,23
60.0,21
11.0,31
22.0,23
34.0,27
75.0,19
15.0,16
1.0,17
22.0,20
31.0,27
74.0,26
81.0,25
73.0,26
21.0,29
37.0,74
18.0,45
38.0,27
8.0,27
91.0,23
90.0,21
2.0,19
93.0,22
44.0,33
2.0,15
11.0,14
19.0,16
85.0,14
91.0,14
87.0,14
82.0,19
98.0,22
5.0,10
28.0,11
56.0,8
2.0,9
67.0,9
4.0,11
23.0,9
93.0,12
18.0,10
44.0,11
28.0,9
92.0,8
39.0,14
94.0,9
9.0,11
10.0,7
4.0,10
46.0,9
36.0,8
29.0,10
22.0,11
44.0,9
84.0,12
45.0,12
56.0,14
91.0,13
98.0,13
100.0,13
5.0,14
53.0,14
100.0,11
96.0,12
37.0,10
1.0,12
69.0,13
64.0,13
29.0,10
12.0,9
56.0,11
35.0,11
94.0,10
59.0,10
59.0,11
56.0,10
16.0,14
54.0,8
33.0,12
69.0,11
23.0,15
22.0,16
100.0,7
1.0,9
62.0,9
44.0,11
57.0,12
51.0,10
21.0,12
59.0,9
1.0,13
6.0,11
79.0,11
85.0,9
42.0,11
69.0,9
64.0,16
82.0,11
57.0,13
76.0,12
63.0,10
7.0,19
65.0,11
51.0,12
86.0,8
11.0,10
1.0,10
47.0,12
96.0,10
82.0,13
11.0,12
50.0,11
30.0,9
16.0,12
50.0,9
22.0,7
37.0,6
27.0,6
53.0,8
50.0,10
69.0,9
25.0,7
56.0,12
76.0,8
84.0,9
88.0,6
44.0,11
59.0,10
31.0,15
35.0,10
9.0,9
13.0,8
78.0,11
22.0,8
35.0,14
69.0,11
96.0,5
31.0,8
63.0,6
64.0,8
37.0,12
45.0,8
7.0,7
21.0,10
43.0,6
18.0,12
37.0,10
91.0,11
16.0,11
88.0,9
54.0,11
51.0,9
26.0,7
40.0,15
62.0,10
52.0,10
3.0,11
55.0,12
88.0,11
8.0,7
12.0,10
70.0,8
55.0,9
16.0,10
60.0,10
55.0,311
9.0,348
41.0,194
85.0,108
83.0,87
48.0,112
47.0,108
39.0,78
16.0,81
41.0,150
74.0,55
60.0,61
66.0,50
30.0,108
15.0,61
26.0,75
68.0,41
74.0,30
34.0,65
73.0,51
55.0,37
69.0,26
41.0,82
63.0,25
59.0,45
75.0,36
49.0,29
48.0,32
55.0,48
93.0,29
14.0,28
66.0,49
47.0,41
32.0,31
55.0,17
38.0,22
82.0,22
71.0,24
87.0,26
58.0,52
54.0,33
89.0,33
36.0,40
34.0,39
94.0,25
31.0,17
58.0,18
65.0,35
70.0,24
45.0,32
88.0,29
85.0,17
18.0,24
55.0,20
40.0,20
79.0,21
49.0,31
91.0,18
41.0,17
18.0,25
61.0,21
66.0,18
27.0,32
11.0,20
92.0,15
7.0,21
70.0,20
90.0,18
85.0,18
69.0,28
94.0,19
64.0,28
18.0,23
54.0,33
15.0,20
8.0,20
2.0,19
69.0,21
62.0,22
29.0,22
44.0,24
37.0,27
61.0,30
85.0,22
58.0,39
74.0,39
29.0,18
5.0,18
51.0,14
77.0,24
97.0,18
33.0,16
68.0,28
74.0,16
18.0,27
75.0,14
86.0,17
78.0,36
86.0,20
72.0,20
44.0,26
11.0,11
97.0,16
30.0,13
63.0,14
62.0,13
41.0,13
14.0,13
6.0,24
44.0,16
18.0,12
29.0,16
91.0,15
70.0,13
97.0,16
79.0,15
76.0,24
32.0,14
91.0,13
92.0,9
32.0,16
26.0,30
65.0,39
46.0,15
14.0,26
29.0,27
39.0,39
93.0,15
17.0,13
16.0,15
34.0,13
65.0,17
61.0,15
90.0,17
60.0,15
79.0,12
2.0,13
4.0,16
88.0,32
67.0,18
22.0,36
68.0,14
30.0,10
58.0,32
14.0,33
86.0,24
60.0,27
53.0,25
14.0,11
40.0,40
